Custom Language|Українська
Grading|Грейдинг
Grading Time|Час грейдингу
Grandma|Бабуся
Handyman|Майстер на всі руки
Hangar|Ангар
Harpy|Гарпія
Hawk|Яструб
Heat Knife|Ніж нагріву
Heat Missile|Теплова ракета
Hiker|Турист
Hobby DECO|Декор для хобі
Hold To Crouch|Утримувати для присідання
Hold To Sprint|Утримувати для бігу
How should I set the price?|Яку ціну встановити?
I will refill the machine with these|Я поповню машину цим
Ice Broadsword|Крижаний палаш
Ice Mortar|Крижана мінометка
Ice Pike|Крижана піка
Ice Spinner|Крижаний спінер
Ice Twin Spear|Подвійна крижана піка
Import|Імпорт
In Album|В альбомі
In Storage :|На складі:
Inferno Boost|Інферно прискорення
Influencer|Інфлюенсер
Ink Knight|Чорнильний лицар
Insert Card Pack(s)|Вставте набір(и) карток
Inspect|Оглянути
Investor|Інвестор
Iron Ball|Залізна куля
Janitor|Двірник
Jester|Блазень
Jet Burner|Реактивний пальник
Kabuto|Кабуто
Katana|Катана
Katana Display|Дисплей для катани
Knight|Лицар
Knight Shield|Лицарський щит
Knight Sword|Лицарський меч
Laundry|Пральня
Lawyer|Юрист
Leave|Вийти
Let Me Think|Дайте подумати
Level Highest|Спочатку найвищий рівень
Level Lowest|Спочатку найнижчий рівень
Librarian|Бібліотекар
Light Saber|Світловий меч
Lion Shield|Левиний щит
Magnetic Coil|Магнітна котушка
Magnetic Holder|Магнітний тримач
Maid|Покоївка
Manage|Керувати
Master Arena|Майстер арени
Mauler Mace|Булава маулера
Max|Макс.
Max card limit reached|Досягнуто максимальної кількості карток
Megabot|Мегабот
Megabot Card Collector|Колекціонер карток Мегабота
Megabot Pack|Набір Мегабота
Megavolt Beam|Мегавольтний промінь
Mimic|Мімік
Mini Missile|Міні-ракета
Minotaur|Мінотавр
Minus|Мінус
Missile Cannon|Ракетна гармата
Moonlight Blade|Місячне лезо
Morning Star|Ранкова зірка
Mortar|Міномет
Most Trusted Grading Service|Найнадійніший сервіс грейдингу
Mulligan|Муліган
Mulligan or keep current hand?|Зробити муліган чи залишити поточну руку?
Mushroom Monster|Грибний монстр
Musician|Музикант
My little brother said this is the best place to work. I will be a great help, trust me!|Мій молодший брат сказав, що це найкраще місце для роботи. Я точно стану в пригоді, повірте!
Need to copy deck first|Спочатку потрібно скопіювати колоду
New Submission|Нова заявка
No Snap|Без прив’язки
No card available|Немає доступних карток
No card pack in machine|У машині немає наборів карток
No card selected|Картку не вибрано
No deco in inventory|В інвентарі немає декору
No valid selection|Немає допустимого вибору
Noble|Дворянин
Not enough card to paste deck|Недостатньо карток, щоб вставити колоду
Não tenho muita experiência mas estou disposto a aprender e fazer qualquer coisa. Por favor me contrate pois preciso de dinheiro para pagar a escola de arte.|У мене небагато досвіду, але я готовий вчитися й виконувати будь-яку роботу. Будь ласка, найміть мене — мені потрібні гроші, щоб оплатити навчання в художній школі.
On Shelf :|На полиці:
Only 4 card duplicates allowed|Дозволено не більше 4 копій однієї картки
Orca|Косатка
Ordering :|Замовлено:
Others|Інше
Owned|У власності
Pack Machine|Машина для відкривання наборів
Pack Machine L|Машина для відкривання наборів L
Pack Machine M|Машина для відкривання наборів M
Pack Machine S|Машина для відкривання наборів S
Paste|Вставити
Peasant|Селянин
Penny Sleeves|Базові протектори
Phoenix|Фенікс
Photographer|Фотограф
Pirate|Пірат
Plant YYY|Рослина YYY
Playmat (GigatronX)|Ігровий килимок (GigatronX)
Playmat (Katengu Black)|Ігровий килимок (Katengu, чорний)
Playmat (Katengu White)|Ігровий килимок (Katengu, білий)
Playmat Gray|Сірий ігровий килимок
Playmat Green|Зелений ігровий килимок
Playmat Purple|Фіолетовий ігровий килимок
Playmat Yellow|Жовтий ігровий килимок
Plumber|Сантехнік
Pocket Pages|Сторінки з кишеньками
Police|Поліцейський
Popular Shop|Популярний магазин
Poster|Постер
Poster XXX|Постер XXX
Poster YYY|Постер YYY
Posters & Art Prints|Постери та арт-принти
Premium|Преміум
Preorder Here|Передзамовлення тут
Price :|Ціна:
Primary Task|Основне завдання
Programmer|Програміст
Psychic|Екстрасенс
Pulse Cannon|Пульсуюча гармата
Purchased|Придбано
Put items on shelf to sell them to your customers. Store up to 4 types of item. Each compartment has volume of 48.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 4 типів предметів. Кожний відсік має об’єм 48.
Put up to 10000 card for customers to take cards for free and make them happy.|Покладіть до 10000 карток, щоб клієнти могли брати їх безкоштовно й ставали задоволенішими.
Put up to 10000 cards for customers to take for free and make them happy!|Покладіть до 10000 карток, щоб клієнти могли брати їх безкоштовно й ставали задоволенішими!
Put your card collection on this shelf for display. This shelf has 36 card slots.|Розмістіть свою колекцію карток на цій полиці для демонстрації. Полиця має 36 слотів для карток.
Put your card collection on this shelf for display. This shelf has 4 card slots.|Розмістіть свою колекцію карток на цій полиці для демонстрації. Полиця має 4 слоти для карток.
Put your card collection on this shelf for display. This shelf has 6 card slots.|Розмістіть свою колекцію карток на цій полиці для демонстрації. Полиця має 6 слотів для карток.
Putting a card in the device will magnify it on the digital screen.|Якщо вставити картку в пристрій, її буде збільшено на цифровому екрані.
Quick Select|Швидкий вибір
Racer|Гонщик
Rail Cannon|Рейкова гармата
Ravager|Спустошувач
Reaper|Жнець
Refill Scent|Поповнити ароматизатор
Rematch|Реванш
Remove All|Прибрати все
Rocket Missile|Ракетний снаряд
Roller Spike|Роликовий шип
Ronin|Ронін
Round Leaf Plant|Рослина з круглими листями
Round Up|Округлити вгору
Scanner|Сканер
School Boy|Школяр
Scout|Розвідник
Secondary Task|Додаткове завдання
Secondary Task:|Додаткове завдання:
Select Cards|Виберіть картки
Select Evolution card|Виберіть картку еволюції
Select Service|Виберіть сервіс
Select XXX card|Виберіть XXX картку
Select XXX cards|Виберіть XXX карток
Select XXXYYY card|Виберіть картку XXXYYY
Select up to XXX card|Виберіть до XXX картки
Select up to XXX card to discard.|Виберіть до XXX картки для скидання.
Select up to XXX cards|Виберіть до XXX карток
Select up to XXX cards to discard.|Виберіть до XXX карток для скидання.
Select your target|Виберіть ціль
Shop B|Магазин B
Shop Customization|Налаштування магазину
Shuriken Blade|Шурікен
Singer|Співак
Slot Available|Вільний слот
Snack Machine|Торговий автомат
Snake|Змія
Soldier|Солдат
Sonic Blaster|Сонічний бластер
Spectre|Привид
Spike Ball|Шипаста куля
Spiked Warhammer|Шипований бойовий молот
Spirit|Дух
Statue|Статуя
Stock Scanner|Сканер запасів
Stone Lantern|Кам'яний ліхтар
Submission|Заявка
Submit|Надіслати
Super Bundle|Супер набір
Super Collector|Супер колекціонер
Super Rare|Супер рідкісний
Sword|Меч
Teacher|Вчитель
The Plushies Are Real!?|Плюшеві іграшки справжні!?
The Real Authentication|Справжня автентифікація
The card has high value. Are you sure about throwing it away?|Картка має високу вартість. Ви впевнені, що хочете її викинути?
The game has already started|Гра вже почалася
There's no one to play with|Немає з ким грати
This machine only accept card packs|Ця машина приймає лише набори карток
Too many boxes, clear some for new boxes to appear|Забагато коробок. Приберіть частину, щоб могли з’явитися нові
Toploader|Топлоадер
Tower Deckbox|Баштовий декбокс
Trailer|Причіп
Trainer|Тренер
Traveller|Мандрівник
Tree Monster|Дерев'яний монстр
Tremor|Тремор
Trolley|Візок
Ultimate Collector|Ультимативний колекціонер
Ultimate Shopkeeper|Ультимативний продавець
Ultra Rare|Ультра рідкісний
Underground Dark|Підземелля Темряви
Underground Light|Підземелля Світла
Ungraded|Без оцінки
Unlock All Shelves In Previous Room First|Спочатку відкрийте всі полиці в попередній кімнаті
Update Now|Оновити зараз
Update Price By|Змінити ціну на
Update Required|Потрібно оновити
Updates Available|Доступні оновлення
Vampire|Вампір
Viper|Гадюка
Wait for all card packs to be processed|Зачекайте, поки всі набори карток буде оброблено
Wall|Стіна
Wall Display Case|Настінна вітрина
Wall YYY|Стіна YYY
What is the task priority?|Який пріоритет завдання?
Whisker Workforce|Команда вусатих
Whisker Workforce Pack|Набір "Команда вусатих"
Wing Booster|Крилатий прискорювач
Witch|Відьма
Wizard|Чарівник
Wolf|Вовк
Woodworker|Столяр
Workbench|Верстак
XXX Day|XXX день
XXX Days|XXX днів
XXX Set YYY|XXX Набір YYY
XXX Statue|Статуя XXX
YOU WIN|ВИ ПЕРЕМОГЛИ
Your Offer|Ваша пропозиція
CustomerReview/I love card shops, but this one? Practically a cave. It's uncomfortable to shop when you can't see what you're buying|Я люблю магазини карток, але цей? Майже печера. Незручно купувати, коли не бачиш, що саме береш.
CustomerReview/This place is ridiculously dark. I'm here to buy cards, not test my ability to navigate a cave. Turn on some lights or hand out flashlights at the door.|Тут абсурдно темно. Я прийшов купувати картки, а не перевіряти, чи зможу пройти печеру. Увімкніть світло або роздавайте ліхтарики на вході.
CustomerReview/I can't believe a store expects customers to shop in near darkness. It's impossible to see the cards, the shelves, or anything else. Completely unacceptable.|Не можу повірити, що магазин очікує, ніби клієнти купуватимуть майже в темряві. Не видно ні карток, ні полиць, взагалі нічого. Абсолютно неприйнятно.
CustomerReview/I need a night vision goggles to play in this shop lol|Щоб грати в цьому магазині, мені потрібні окуляри нічного бачення, лол.
Card Storage Shelf|Полиця для зберігання карток
Put up to 10000 cards for workers to take and display them for sale.|Покладіть до 10000 карток, щоб працівники могли брати їх і виставляти на продаж.
Restock Card|Поповнити картки
Card Storage Shelf required to restock card|Для поповнення карток потрібна полиця для зберігання карток
Worker Can Sell|Працівник може продавати
Put items on shelf to sell them to your customers. Store up to 4 types of item. Each compartment has volume of 144.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 4 типів предметів. Кожний відсік має об’єм 144.
Corner Shelf|Кутова полиця
Put items on shelf to sell them to your customers. Store up to 8 types of item. Each compartment has volume of 96 or 144.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 8 типів предметів. Кожний відсік має об’єм 96 або 144.
Box Shelf|Полиця для коробок
Tetramon Shelf|Полиця Tetramon
Put items on shelf to sell them to your customers. Store up to 24 types of item. Each compartment has volume of 20.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 24 типів предметів. Кожний відсік має об’єм 20.
Primary Task:|Основне завдання:
Bonus|Бонус
Give Bonus|Дати премію
Wow thank you! I wasn't expecting this at all.|Ого, дякую! Я взагалі цього не очікував!
Nice! I'll try not to spend it all on card packs this time.|Клас! Цього разу постараюся не спустити все на набори карток.
Most generous, boss. I'll consider this a tribute to my impeccable work.|Щедро, босе. Вважатиму це даниною моїй бездоганній роботі.
Finally, someone noticed my brilliance! Thank you boss!|Нарешті хтось помітив мою геніальність! Дякую, босе!
YES, I can eat like a king today. Thanks boss!|ТАК! Сьогодні поїм як король. Дякую, босе!
Bonus received! Morale +10!|Премію отримано! Мораль +10!
Thanks boss! Time to level up my lifestyle.|Дякую, босе! Час прокачати рівень життя.
Ideals are admirable. Profit is practical.|Ідеали гідні поваги. Прибуток — практичніший.
Sweet! That'll cover my rent for the month!|Супер! Цього вистачить на оренду за місяць!
Can only store empty box|Можна зберігати лише порожні коробки
Cannot store package box with this size|Не можна зберігати пакувальну коробку такого розміру
Empty Box Storage|Сховище порожніх коробок
Store or take empty packaging box here. Holds up to 200 empty packaging boxes.|Тут можна зберігати або забирати порожні пакувальні коробки. Вміщує до 200 коробок.
Quick Fill|Швидке заповнення
Table Number|Номер столу
Set table number for the tournament players|Встановіть номер столу для учасників турніру
Auto|Авто
Hmm, where is table XXX?|Хм, де стіл XXX?
Where is table XXX!?|Де стіл XXX?!
I can't find table number XXX.|Не можу знайти стіл номер XXX.
Anyone know where is table XXX?|Хтось знає, де стіл XXX?
Tournament started but where is table XXX? Help!!|Турнір уже почався, але де стіл XXX? Допоможіть!!
There's no table for me to play.|Для мене немає столу для гри.
Table layout here is confusing.|Тут дуже незрозуміле розташування столів.
Cannot remove table number during tournament|Не можна прибрати номер столу під час турніру
Remove table number first|Спочатку приберіть номер столу
Store the tournament's prize here. Store up to 8 cards and 8 types of item. Each compartment has volume of 32.|Зберігайте тут призи турніру. Вміщує до 8 карток і 8 типів предметів. Кожний відсік має об’єм 32.
Participants :|Учасники:
Entry Fee :|Вступний внесок:
Start Registration|Почати реєстрацію
Tournament Hosting|Проведення турніру
Setup|Налаштування
Top 8|Топ-8
3rd|3rd
1st|1st
Prizes Worth|Вартість призів
REGISTER NOW|ЗАРЕЄСТРУВАТИСЯ
XXX Players|XXX гравців
Tournament|Турнір
Tournament will start the next day once it's full|Коли всі місця буде зайнято, турнір почнеться наступного дня
Prize Setup|Налаштування призів
Not enough item in inventory|Недостатньо предметів в інвентарі
Need 5 of the same item|Потрібно 5 однакових предметів
Registered|Зареєстровано
Full|Місць немає
Tournament Prize Shelf|Полиця з призами турніру
Where's my prize?|Де мій приз?
I can't find my prize anywhere.|Я ніде не можу знайти свій приз.
There's no prize on the shelf?|На полиці немає призу?
I won't leave until I get my prizes!|Я не піду, доки не отримаю свої призи!
Where's the Tournament Prize Shelf?|Де полиця з призами турніру?
I can't the Tournament Prize Shelf.|Я не можу знайти полицю з призами турніру.
I can't find the Tournament Prize Shelf.|Я не можу знайти полицю з призами турніру.
There's no prize for winning?|За перемогу немає призу?
Sad, you get nothing for winning.|Сумно. За перемогу нічого не дають.
What am I playing for? There's no reward.|Заради чого я взагалі граю? Нагороди немає.
Not even a card pack as reward?|Навіть набору карток як нагороди немає?
You get NOTHING!!|Не отримаєш НІЧОГО!!
CustomerReview/The tournament was very poorly organized. For an event with an entry fee, I expected much better planning.|Турнір організували дуже погано. Від події з платним входом я очікував значно кращої організації.
CustomerReview/Very frustrating tournament experience.|Дуже неприємний досвід участі в турнірі.
CustomerReview/Not a great environment for a competitive TCG event.|Не найкращі умови для змагального TCG-турніру.
CustomerReview/I am disappointed with the tournament and felt misled.|Я розчарований турніром і почуваюся обманутим.
CustomerReview/I was really excited for this tournament, but it ended up being a letdown.|Я дуже чекав на цей турнір, але зрештою він мене розчарував.
CustomerReview/Poor tournament organization, long waits, not worth the time or money.|Погана організація, довге очікування — не варте ні часу, ні грошей.
CustomerReview/This was one of the worst TCG tournaments I've ever attended. Total chaos from start to finish.|Це був один із найгірших TCG-турнірів, на яких я бував. Суцільний хаос від початку до кінця.
CustomerReview/The prizes were NOT what was advertised!|Призи були ЗОВСІМ не такими, як обіцяли!
CustomerReview/What an embarrassing tournament. Poor planning, poor execution. I will not be coming back.|Який соромний турнір. Погано сплановано, погано проведено. Більше не прийду.
CustomerReview/This tournament was a complete dumpster fire.|Цей турнір був суцільною катастрофою.
CustomerReview/Entry fee taken, promises made, and none of them kept. The prizes were a joke compared to what was advertised.|Вступний внесок взяли, наобіцяли купу всього — і нічого не виконали. Порівняно з рекламою призи були просто смішні.
CustomerReview/Once the tournament started, it was chaos. Organizers clearly didn't know what they were doing.|Щойно турнір почався, настав хаос. Організатори явно не знали, що роблять.
Lose|Поразка
Draw|Нічия
Round XXX|Раунд XXX
Match Win|Перемога в матчі
Game Points|Ігрові очки
OMW|OMW
OOMW|OOMW
XXXth|XXX-те
Press to start next day|Натисніть, щоб почати наступний день
Canceling will reset the registered players. Are you sure about canceling the tournament?|Скасування скине зареєстрованих гравців. Ви впевнені, що хочете скасувати турнір?
Tournament Prize Shelf required|Потрібна полиця з призами турніру
Need to setup prizes first|Спочатку потрібно налаштувати призи
Camera|Камера
Zoom In|Наблизити
Zoom Out|Віддалити
Roll Left|Нахилити ліворуч
Roll Right|Нахилити праворуч
Grid|Сітка
Take Photo|Зробити фото
Photo Gallery|Фотогалерея
Gallery|Галерея
No Photo|Немає фото
Shop Level Up|Підвищення рівня магазину
Shop Leveled Up|Рівень магазину підвищено
New License Available|Доступна нова ліцензія
New Furniture Available|Доступні нові меблі
New Room Available|Доступне нове приміщення
New Worker Available|Доступний новий працівник
New Shop Expansion Available|Доступне нове розширення магазину
Limited Time Plushies!|Плюшеві іграшки — лише обмежений час!
